00:10:01	13.3	13.5	47.1	10.5	9.5	10.5	8.4	7.5	10.5	
01:10:01	13.5	12.7	56.4	10.5	6.8	8.5	8.5	9.5	9.5	
02:10:01	12.3	11.3	51.5	7.5	9.5	7.4	7.5	7.5	9.5	
03:10:01	12.5	15.1	38.3	10.9	9.3	6.5	8.5	7.5	8.5	
04:10:01	14.6	16.5	50.5	8.1	10.5	8.5	7.5	8.3	6.5	
05:10:01	12.8	12.5	47.4	6.5	6.5	7.5	8.5	8.8	6.8	
06:10:01	12.5	16.2	55.1	9.5	8.5	9.5	9.5	6.5	7.3	
07:10:01	12.5	17.2	37.5	10.5	9.1	6.5	6.2	8.8	7.5	
08:10:01	19.3	19.6	61.5	40.9	38.5	41.6	41.5	40.5	41.7	
09:10:01	18.5	16.5	48.9	40.5	38.5	40.5	39.9	41.7	41.8	
10:10:01	19.5	19.5	62.5	39.9	42.8	39.5	40.5	40.5	40.5	
11:10:01	21.5	21.9	55.5	42.5	38.5	39.8	38.5	38.8	42.9	
12:10:01	18.5	18.8	49.8	39.9	42.2	39.5	40.5	40.5	42.9	
13:10:01	19.5	19.5	58.6	42.7	41.5	41.5	41.5	38.5	40.5	
14:10:01	21.5	18.2	67.7	40.8	40.5	40.6	38.5	42.5	40.5	
15:10:01	21.5	18.4	59.5	41.5	40.5	38.5	42.5	38.4	40.5	
16:10:01	20.2	17.2	62.6	42.5	42.5	39.5	41.5	40.5	39.9	
17:10:01	19.5	19.4	48.3	40.2	38.5	42.3	39.5	40.5	40.5	
18:10:01	15.5	13.5	54.7	14.5	12.3	13.5	12.5	12.5	10.5	
19:10:01	13.5	16.2	41.4	12.5	12.5	11.5	12.5	12.1	12.5	
20:10:01	17.5	14.4	57.6	12.5	11.6	11.5	13.1	14.5	12.6	
21:10:01	17.2	16.3	64.5	12.5	10.2	14.5	10.4	12.5	14.5	
22:10:01	15.5	18.4	42.5	14.5	12.5	13.5	10.5	11.5	12.5	
23:10:01	15.5	14.5	54.5	12.7	13.5	12.4	12.8	12.5	14.5
